Description,Stage,GEO accession no.,Used for chromatin state maps
H3,EE,GSE22722,x
H3,L3,GSE22734,x
H3K27ac,EE,GSE22748,x
H3K27ac,L3,GSE25355,x
H3K27me1,EE,GSE26178,x
H3K27me1,L3,GSE26179,x
H3K27me3,EE,GSE26180,x
H3K27me3,L3,GSE22730,x
H3K36me1,EE,GSE22744,x
H3K36me1,L3,GSE26181,x
H3K36me2,EE,GSE22717,x
H3K36me2,L3,GSE22729,x
H3K36me3,EE,GSE22719,x
H3K36me3,L3,GSE22731,x
H3K4me1,EE,GSE22747,x
H3K4me1,L3,GSE25357,x
H3K4me2,EE,GSE22741,x
H3K4me2,L3,GSE22732,x
H3K4me3,EE,GSE49739,x
H3K4me3,L3,GSE28770,x
H3K79me2,EE,GSE22738,x
H3K79me2,L3,GSE26182,x
H3K79me3,EE,GSE22739,x
H3K79me3,L3,GSE26183,x
H3K9me2,EE,GSE22740,x
H3K9me2,L3,GSE22733,x
H3K9me3,EE,GSE22720,x
H3K9me3,L3,GSE22728,x
H4K20me1,EE,GSE22754,x
H4K20me1,L3,GSE25358,x
H4K8ac,EE,GSE26184,x
H4K8ac,L3,GSE25356,x
HTZ-1,MxE,GSE50302,x
HTZ-1,L3,GSE49717,x
Pol II,EE,GSE25788,
Pol II,L3,GSE25792,
H3K36me3,EE,GSE38180,
H3K27me3,EE,GSE38180,
MES-4,EE,GSE38180,
H3K36me3,mes-4 RNAi EE,GSE38159,
H3K27me3,mes-4 RNAi EE,GSE38159,